# timestamp download_time throughput avg_throughput requested_bitrate chunk_name
1741152060 0.0624 107.02 107.02 500 500Seg-init
1741152060 0.0634 884.43 806.69 10 10Seg1
1741152060 0.1819 10658.03 9672.89 500 500Seg2
1741152061 0.2838 12179.64 11928.97 1000 1000Seg3
1741152061 0.2714 15299.01 14962.00 1000 1000Seg4
1741152062 0.2762 11758.45 12078.81 1000 1000Seg5
1741152062 0.3671 10575.45 10725.79 1000 1000Seg6
1741152063 0.2658 15987.80 15461.60 1000 1000Seg7
1741152065 0.3137 12042.66 12384.55 1000 1000Seg8
1741152069 0.3325 12017.92 12054.58 1000 1000Seg9
1741152073 0.2997 12242.66 12223.85 1000 1000Seg10
1741152076 0.2992 12779.41 12723.85 1000 1000Seg11
1741152080 0.2531 15913.33 15594.38 1000 1000Seg12
1741152105 0.0571 844.63 763.98 10 10Seg13
1741152126 0.0566 974.53 881.01 10 10Seg14
1741152148 0.0712 540.42 487.32 10 10Seg15
1741152158 10.7024 39.34 38.53 100 100Seg16
1741152160 2.1679 24.43 22.71 10 10Seg17
1741152161 0.0897 444.68 400.91 10 10Seg18
1741152174 13.3485 33.35 32.65 100 100Seg19
1741152174 0.0622 681.34 616.47 10 10Seg20
1741152181 6.9822 48.01 46.89 100 100Seg21
1741152181 0.0520 954.16 863.43 10 10Seg22
1741152184 100.2863 39.30 39.34 1000 1000Seg13
1741152185 80.2316 26.16 29.76 500 500Seg14
1741152185 58.8342 28.88 28.97 500 500Seg15
1741152185 3.9824 491.34 445.11 500 500Seg23
1741152186 0.1316 2643.20 2423.39 100 100Seg24
1741152186 0.2971 11400.27 10502.58 1000 1000Seg25
1741152187 0.2673 14784.82 14356.60 1000 1000Seg26
1741152187 0.2778 16079.96 15907.62 1000 1000Seg27
1741152188 0.2754 14273.48 14436.90 1000 1000Seg28
1741152189 0.2512 15693.28 15567.64 1000 1000Seg29
1741152193 0.2482 17254.65 17085.95 1000 1000Seg30
1741152197 0.2421 14877.06 15097.95 1000 1000Seg31
