# timestamp download_time throughput avg_throughput requested_bitrate chunk_name
1741149877 0.0590 113.22 113.22 500 500Seg-init
1741149877 0.0321 1744.02 276.30 10 10Seg1
1741149877 0.2383 1695.43 418.21 100 100Seg2
1741149877 0.0826 4747.96 851.19 100 100Seg3
1741149878 0.1447 16070.60 2373.13 500 500Seg4
1741149878 0.1872 17352.51 3871.07 1000 1000Seg5
1741149879 0.2708 14337.06 4917.67 1000 1000Seg6
1741149879 0.3587 11848.45 5610.74 1000 1000Seg7
1741149882 0.2789 13543.88 6404.06 1000 1000Seg8
1741149883 0.2497 16007.20 7364.37 1000 1000Seg9
1741149883 0.2176 16857.19 8566.80 1000 1000Seg10
1741149883 0.1819 21015.99 9811.71 1000 1000Seg11
1741149884 0.2690 14975.44 10328.09 1000 1000Seg12
1741149884 0.2489 15831.16 10878.39 1000 1000Seg13
1741149885 0.2613 15990.59 11389.61 1000 1000Seg14
1741149885 0.1877 17357.44 11986.40 1000 1000Seg15
1741149890 0.2712 13830.57 12170.81 1000 1000Seg16
1741149894 0.2428 17410.54 12694.79 1000 1000Seg17
1741149960 0.0731 545.93 101.85 10 10Seg18
1741149961 0.0396 1368.99 228.57 10 10Seg19
1741149982 0.0660 642.32 84.37 10 10Seg20
1741149982 0.0335 1280.33 203.97 10 10Seg21
1741150003 0.0656 756.07 90.44 10 10Seg22
1741150003 0.0333 1414.53 222.85 10 10Seg23
1741150012 93.2117 37.94 35.84 1000 1000Seg18
1741150019 58.2383 7.81 18.51 100 100Seg20
1741150022 19.0937 18.21 16.09 100 100Seg24
1741150022 0.0776 628.27 77.31 10 10Seg25
1741150023 0.0400 1144.09 183.99 10 10Seg26
1741150044 0.0768 623.92 73.28 10 10Seg27
1741150044 0.0369 1242.93 190.25 10 10Seg28
1741150058 75.4476 5.05 15.01 100 100Seg22
1741150059 14.6879 29.40 16.08 100 100Seg29
1741150059 0.0654 775.90 92.06 10 10Seg30
1741150059 0.0334 1283.72 211.23 10 10Seg31
1741150072 12.7544 29.76 25.27 100 100Seg32
1741150072 0.0660 679.83 90.73 10 10Seg33
1741150072 0.0303 1667.19 248.37 10 10Seg34
1741150077 136.8758 13.50 112.56 500 500Seg18
1741150086 13.7902 30.35 32.35 100 100Seg35
1741150086 0.0709 792.00 108.32 10 10Seg36
1741150086 0.0301 1317.01 229.19 10 10Seg37
1741150099 13.0565 32.86 38.06 100 100Seg38
1741150099 0.0744 668.21 101.07 10 10Seg39
1741150099 0.0332 1253.79 216.34 10 10Seg40
1741150113 13.9926 32.65 38.47 100 100Seg41
1741150113 0.0986 416.75 76.30 10 10Seg42
1741150114 0.0308 1663.35 235.00 10 10Seg43
1741150126 12.6944 30.05 48.94 100 100Seg44
1741150126 0.0709 569.55 101.00 10 10Seg45
1741150127 0.0319 1445.99 235.50 10 10Seg46
1741150131 108.2489 4.03 130.39 100 100Seg27
1741150140 13.4823 32.49 56.57 100 100Seg47
1741150140 0.0754 508.57 101.77 10 10Seg48
1741150140 0.0349 1599.17 251.51 10 10Seg49
1741150152 11.9914 28.38 84.23 100 100Seg50
1741150152 0.0678 574.11 133.22 10 10Seg51
1741150152 0.0370 1276.33 247.53 10 10Seg52
1741150161 263.1265 13.44 114.96 1000 1000Seg18
1741150167 14.9634 31.61 79.94 100 100Seg53
1741150168 0.0590 747.38 146.69 10 10Seg54
1741150168 0.0327 1336.89 265.71 10 10Seg55
1741150175 6.8500 57.84 206.39 100 100Seg56
1741150176 1.5022 262.05 211.96 100 100Seg57
1741150177 0.1759 1997.35 390.50 100 100Seg58
1741150177 0.0382 9868.30 1338.28 100 100Seg59
1741150177 0.1903 11060.54 2310.50 500 500Seg60
1741150177 0.1576 25956.69 6210.68 1000 1000Seg61
1741150178 0.2150 20378.30 9076.62 1000 1000Seg62
1741150182 0.1904 17662.68 9935.22 1000 1000Seg63
