# timestamp download_time throughput avg_throughput requested_bitrate chunk_name
1741151809 0.0623 107.26 107.26 500 500Seg-init
1741151809 0.0656 854.90 481.08 10 10Seg1
1741151809 0.1241 3256.37 1868.72 100 100Seg2
1741151809 0.2567 13468.38 7668.55 1000 1000Seg3
1741151810 0.2557 16235.58 11952.07 1000 1000Seg4
1741151810 0.2641 12297.80 12124.93 1000 1000Seg5
1741151811 0.3249 11947.09 12036.01 1000 1000Seg6
1741151811 0.2678 15871.33 13953.67 1000 1000Seg7
1741151814 0.2427 15561.29 14757.48 1000 1000Seg8
1741151817 0.2847 14038.47 14397.97 1000 1000Seg9
1741151821 0.2266 16188.32 15293.15 1000 1000Seg10
1741151825 0.2572 14865.89 15079.52 1000 1000Seg11
1741151829 0.2791 14433.42 14756.47 1000 1000Seg12
1741151854 0.0760 635.09 343.63 10 10Seg13
1741151876 0.0909 606.89 311.71 10 10Seg14
1741151887 11.0162 29.19 24.59 100 100Seg15
1741151887 0.0971 527.95 276.27 10 10Seg16
1741151901 13.7067 30.06 24.88 100 100Seg17
1741151901 0.1015 393.23 209.06 10 10Seg18
1741151915 14.1707 31.41 28.94 100 100Seg19
1741151915 0.0636 666.79 340.06 10 10Seg20
1741151922 6.4900 51.66 40.91 100 100Seg21
1741151922 0.0739 670.95 355.93 10 10Seg22
1741151931 9.2345 44.94 33.88 100 100Seg23
1741151932 0.0627 683.22 358.55 10 10Seg24
1741151932 0.1748 2391.19 1374.87 100 100Seg25
1741151932 0.2167 9652.70 5513.78 500 500Seg26
1741151932 0.2504 17836.93 9610.26 1000 1000Seg27
1741151933 0.2956 13299.09 11454.67 1000 1000Seg28
1741151934 0.2966 13288.80 8078.77 1000 1000Seg29
1741151934 0.3140 13638.99 10858.88 1000 1000Seg30
