# timestamp download_time throughput avg_throughput requested_bitrate chunk_name
1741149420 0.0340 196.41 196.41 500 500Seg-init
1741149421 0.1453 3101.16 3101.16 100 100Seg1
1741149421 0.2147 19148.16 19148.16 1000 1000Seg2
1741149421 0.1249 27672.13 27672.13 1000 1000Seg3
1741149422 0.1393 29810.74 29810.74 1000 1000Seg4
1741149422 0.1735 18716.55 18716.55 1000 1000Seg5
1741149422 0.1163 33366.71 33366.71 1000 1000Seg6
1741149423 0.1542 27566.72 27566.72 1000 1000Seg7
1741149425 0.2879 13121.37 13121.37 1000 1000Seg8
1741149425 0.1533 26073.51 26073.51 1000 1000Seg9
1741149425 0.1406 26091.54 26091.54 1000 1000Seg10
1741149426 0.1583 24150.47 24150.47 1000 1000Seg11
1741149426 0.1461 27572.28 27572.28 1000 1000Seg12
1741149427 0.1686 23378.88 23378.88 1000 1000Seg13
1741149427 0.2551 16383.96 16383.96 1000 1000Seg14
1741149428 0.1792 18181.12 18181.12 1000 1000Seg15
1741149429 0.2923 12830.92 12830.92 1000 1000Seg16
1741149454 0.0644 822.14 822.14 10 10Seg17
1741149496 0.0674 592.45 592.45 10 10Seg18
1741149507 10.9478 40.66 40.66 100 100Seg19
1741149507 0.0632 670.64 670.64 10 10Seg20
1741149515 7.4558 44.96 44.96 100 100Seg21
1741149515 0.0691 717.88 717.88 10 10Seg22
1741149525 9.8782 42.02 42.02 100 100Seg23
1741149525 0.0591 724.55 724.55 10 10Seg24
1741149533 8.3578 50.02 50.02 100 100Seg25
1741149534 0.0937 488.47 488.47 10 10Seg26
1741149546 12.1045 36.07 36.07 100 100Seg27
1741149546 0.0680 674.43 674.43 10 10Seg28
1741149557 10.6564 40.52 40.52 100 100Seg29
1741149557 0.0582 870.97 870.97 10 10Seg30
1741149639 81.9822 23.02 23.02 500 500Seg31
1741149670 216.4247 8.54 8.54 500 500Seg18
1741149694 218.7813 8.44 8.44 500 500Seg18
1741149696 97.4124 19.37 19.37 500 500Seg31
1741149714 93.5468 20.17 20.17 500 500Seg31
1741149718 139.3922 13.54 13.54 500 500Seg31
1741149722 288.7375 14.64 14.64 1000 1000Seg17
1741149736 0.0642 723.99 723.99 10 10Seg32
1741149736 0.0921 3942.26 3942.26 100 100Seg33
1741149736 0.2225 18267.04 18267.04 1000 1000Seg34
1741149736 0.1961 20536.59 20536.59 1000 1000Seg35
1741149737 0.3543 12208.53 12208.53 1000 1000Seg36
1741149737 0.1785 18536.35 18536.35 1000 1000Seg37
1741149738 0.2518 15932.14 15932.14 1000 1000Seg38
1741149738 0.3027 14466.93 14466.93 1000 1000Seg39
1741149741 0.2401 12531.78 12531.78 1000 1000Seg40
1741149745 0.4570 9196.52 9196.52 1000 1000Seg41
1741149749 0.3927 9051.60 9051.60 1000 1000Seg42
1741149753 0.7471 5161.75 5161.75 1000 1000Seg43
1741149757 0.4020 9484.27 9484.27 1000 1000Seg44
